구별,소계,2013년도 이전,2014년,2015년,2016년,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,1292,430,584,932,549255,544257,4998,66412,0.909959854712292,12.091287289146207,0.589525812236575,1564.173631086322
강동구,1010,379,99,155,377,434992,430705,4287,58280,0.9855353661676537,13.397947548460662,0.23218817817339168,540.215647525767
강북구,831,369,120,138,204,324276,320576,3700,57741,1.1410033428314152,17.80612811308885,0.2562631832142989,599.4421020282398
강서구,911,388,258,184,81,605068,598416,6652,78814,1.0993805654901596,13.025643398758488,0.15056158977172815,823.2053646762911
관악구,2109,846,260,390,613,521685,503956,17729,71840,3.398410918466124,13.77076204989601,0.4042669426953046,464.9991002991444
광진구,878,573,78,53,174,369999,355032,14967,45202,4.045146067962346,12.2167897751075,0.2372979386430774,601.9056467804296
구로구,1884,1142,173,246,323,439234,406144,33090,61293,7.53356980561614,13.954520824890604,0.4289285437830405,329.19531945280414
금천구,1348,674,51,269,354,252359,232760,19599,35299,7.766317032481504,13.987612884818848,0.5341596693599198,4.64165700181502
노원구,1566,542,57,451,516,551069,546911,4158,76466,0.7545334613269844,13.875939310685231,0.28417493998029286,109.78877011614622
도봉구,825,238,159,42,386,342990,340876,2114,55499,0.6163444998396455,16.18093821977317,0.2405317939298522,625.6870723165516
동대문구,1870,1070,23,198,579,366101,350556,15545,57096,4.246096022682265,15.595696269608661,0.5107880065883459,394.3112440063526
동작구,1302,544,341,103,314,407925,395513,12412,58803,3.0427161855733282,14.415149843721272,0.31917631917631917,218.93432815023334
마포구,980,314,118,169,379,385032,374106,10926,50559,2.8376862182883498,13.131116374742879,0.2545242992790209,516.1684787962567
서대문구,1254,844,50,68,292,322497,310584,11913,50278,3.6939878510497772,15.590222544705842,0.38884082642629236,174.51756413452904
서초구,2297,1406,157,336,398,441539,437407,4132,54887,0.9358176740899445,12.43083849897744,0.520225846414473,739.7017501189066
성동구,1327,730,91,241,265,317197,309251,7946,42581,2.505067828510358,13.424149660936264,0.4183520020681154,95.78397737979708
성북구,1651,1009,78,360,204,449574,438031,11543,67447,2.5675417172701267,15.00242451743206,0.3672365394795962,85.00941623696895
송파구,1081,529,21,68,463,673582,666892,6690,80220,0.9931975616925631,11.909463138860598,0.16048528612700458,727.3244142826493
양천구,2482,1843,142,30,467,469945,466121,3824,57442,0.813712242922044,12.223132494228048,0.5281469108087117,893.9718887311872
영등포구,1277,495,214,195,373,403724,368577,35147,55364,8.705699933618016,13.71332890786775,0.31630519860102446,239.38964929049234
용산구,2096,1368,218,112,398,245087,229391,15696,37443,6.404256447710405,15.277432095541583,0.8552065185015932,751.2252567492058
은평구,2108,1138,224,278,468,487849,483417,4432,76643,0.9084778281804411,15.710393994863164,0.4321009164721051,500.60318358841005
종로구,1619,464,314,211,630,163086,153396,9690,26622,5.941650417571098,16.323902726169017,0.9927277632660069,362.9346619331243
중구,1023,413,190,72,348,135258,125815,9443,21902,6.981472445252776,16.19275754484023,0.7563323426340771,202.96076217806853
중랑구,916,509,121,177,109,409058,404313,4745,61271,1.1599822030127758,14.978560497533358,0.22392912496516387,606.1600175451601
